,Region,Month,HCHO reading,Proximity(km)
0,Colombo Proper,2019-01,0.00020149132011022645,0.0
1,Colombo Proper,2019-02,0.00024360189705315366,0.0
2,Colombo Proper,2019-03,0.00024674994426104836,0.0
3,Colombo Proper,2019-04,0.00020289767066509223,0.0
4,Colombo Proper,2019-05,0.00012757847237216544,0.0
5,Colombo Proper,2019-06,0.00011877693331535395,0.0
6,Colombo Proper,2019-07,8.928789032767159e-05,0.0
7,Colombo Proper,2019-08,9.403519915249058e-05,0.0
8,Colombo Proper,2019-09,8.391147466782901e-05,0.0
9,Colombo Proper,2019-10,0.00013916740489083927,0.0
10,Colombo Proper,2019-11,0.0001628067925746477,0.0
11,Colombo Proper,2019-12,0.00015842955922225623,0.0
12,Colombo Proper,2020-01,0.00019869614781369918,0.0
13,Colombo Proper,2020-02,0.0002669844220197345,0.0
14,Colombo Proper,2020-03,0.0002587847854417355,0.0
15,Colombo Proper,2020-04,0.00016645394627984935,0.0
16,Colombo Proper,2020-05,0.00015126137068438523,0.0
17,Colombo Proper,2020-06,8.544704392443211e-05,0.0
18,Colombo Proper,2020-07,0.00013071016320822816,0.0
19,Colombo Proper,2020-08,8.119375702516602e-05,0.0
20,Colombo Proper,2020-09,8.087249315376363e-05,0.0
21,Colombo Proper,2020-10,0.00010030041259873347,0.0
22,Colombo Proper,2020-11,0.0001682891665194166,0.0
23,Colombo Proper,2020-12,0.00019124610126755492,0.0
24,Colombo Proper,2021-01,0.00016518458372925173,0.0
25,Colombo Proper,2021-02,0.00020512200570298,0.0
26,Colombo Proper,2021-03,0.00024749775834634845,0.0
27,Colombo Proper,2021-04,0.00020006248621941332,0.0
28,Colombo Proper,2021-05,0.0001547337131189387,0.0
29,Colombo Proper,2021-06,9.639090434318168e-05,0.0
30,Colombo Proper,2021-07,7.30643422491495e-05,0.0
31,Colombo Proper,2021-08,0.00010687708872218418,0.0
32,Colombo Proper,2021-09,0.00010032309257613768,0.0
33,Colombo Proper,2021-10,8.039854487654015e-05,0.0
34,Colombo Proper,2021-11,6.70915395610193e-05,0.0
35,Colombo Proper,2021-12,0.0002086624121487181,0.0
36,Colombo Proper,2022-01,0.00022214602406031616,0.0
37,Colombo Proper,2022-02,0.00022893873484340678,0.0
38,Colombo Proper,2022-03,0.00021445967494119147,0.0
39,Colombo Proper,2022-04,0.00015105061472691093,0.0
40,Colombo Proper,2022-05,0.00013748808719354035,0.0
41,Colombo Proper,2022-06,0.0001099230212346846,0.0
42,Colombo Proper,2022-07,9.717901552554407e-05,0.0
43,Colombo Proper,2022-08,0.00011019706251615782,0.0
44,Colombo Proper,2022-09,7.521566142096986e-05,0.0
45,Colombo Proper,2022-10,0.0001076134966226772,0.0
46,Colombo Proper,2022-11,0.00015921822391619592,0.0
47,Colombo Proper,2022-12,0.00016421798332822313,0.0
48,Colombo Proper,2023-01,0.0002114194575846428,0.0
49,Colombo Proper,2023-02,0.00019372893412669272,0.0
50,Colombo Proper,2023-03,0.00021242775582841716,0.0
51,Colombo Proper,2023-04,0.00021033282112450536,0.0
52,Colombo Proper,2023-05,0.0001418399728181788,0.0
53,Colombo Proper,2023-06,0.00012436221598897208,0.0
54,Colombo Proper,2023-07,9.04746455696769e-05,0.0
55,Colombo Proper,2023-08,7.806809218924083e-05,0.0
56,Colombo Proper,2023-09,0.00012948916656589283,0.0
57,Colombo Proper,2023-10,0.00013247450697670643,0.0
58,Colombo Proper,2023-11,0.00016804701017023103,0.0
59,Colombo Proper,2023-12,0.00018196533026042843,0.0
60,"Deniyaya, Matara",2019-01,9.76191801818393e-05,44.0
61,"Deniyaya, Matara",2019-02,0.00010078349564202798,44.0
62,"Deniyaya, Matara",2019-03,0.00012625500936018375,44.0
63,"Deniyaya, Matara",2019-04,0.00012282347878714344,44.0
64,"Deniyaya, Matara",2019-05,0.00010546444038537082,44.0
65,"Deniyaya, Matara",2019-06,8.927200946286003e-05,44.0
66,"Deniyaya, Matara",2019-07,7.226233584573957e-05,44.0
67,"Deniyaya, Matara",2019-08,5.787836942318446e-05,44.0
68,"Deniyaya, Matara",2019-09,6.332182248741505e-05,44.0
69,"Deniyaya, Matara",2019-10,5.0109946956361453e-05,44.0
70,"Deniyaya, Matara",2019-11,8.410958791123536e-05,44.0
71,"Deniyaya, Matara",2019-12,9.12486096518399e-05,44.0
72,"Deniyaya, Matara",2020-01,9.30250308685685e-05,44.0
73,"Deniyaya, Matara",2020-02,0.00011212673014728046,44.0
74,"Deniyaya, Matara",2020-03,0.00014747730560035763,44.0
75,"Deniyaya, Matara",2020-04,0.0001051685565136308,44.0
76,"Deniyaya, Matara",2020-05,8.752778667204004e-05,44.0
77,"Deniyaya, Matara",2020-06,8.191615880433e-05,44.0
78,"Deniyaya, Matara",2020-07,9.249040118774702e-05,44.0
79,"Deniyaya, Matara",2020-08,7.486947563128118e-05,44.0
80,"Deniyaya, Matara",2020-09,8.009944783958755e-05,44.0
81,"Deniyaya, Matara",2020-10,6.745115037530104e-05,44.0
82,"Deniyaya, Matara",2020-11,0.00012904226760234233,44.0
83,"Deniyaya, Matara",2020-12,0.00010469205481634223,44.0
84,"Deniyaya, Matara",2021-01,9.384190466844572e-05,44.0
85,"Deniyaya, Matara",2021-02,7.602927332092109e-05,44.0
86,"Deniyaya, Matara",2021-03,0.00011015938656171459,44.0
87,"Deniyaya, Matara",2021-04,0.00010936430144891057,44.0
88,"Deniyaya, Matara",2021-05,7.747315515710844e-05,44.0
89,"Deniyaya, Matara",2021-06,6.31782230244132e-05,44.0
90,"Deniyaya, Matara",2021-07,5.1677465551702576e-05,44.0
91,"Deniyaya, Matara",2021-08,4.1842647806871565e-05,44.0
92,"Deniyaya, Matara",2021-09,5.7238641790581315e-05,44.0
93,"Deniyaya, Matara",2021-10,7.814300266165903e-05,44.0
94,"Deniyaya, Matara",2021-11,6.142196232712273e-05,44.0
95,"Deniyaya, Matara",2021-12,8.960942907077221e-05,44.0
96,"Deniyaya, Matara",2022-01,9.723152446697874e-05,44.0
97,"Deniyaya, Matara",2022-02,0.00013865215390404995,44.0
98,"Deniyaya, Matara",2022-03,0.00010444817739814567,44.0
99,"Deniyaya, Matara",2022-04,6.956180234182763e-05,44.0
100,"Deniyaya, Matara",2022-05,9.066966890452915e-05,44.0
101,"Deniyaya, Matara",2022-06,7.656873674406554e-05,44.0
102,"Deniyaya, Matara",2022-07,7.05174038395556e-05,44.0
103,"Deniyaya, Matara",2022-08,8.09120767033922e-05,44.0
104,"Deniyaya, Matara",2022-09,7.223499866098225e-05,44.0
105,"Deniyaya, Matara",2022-10,6.389671467129414e-05,44.0
106,"Deniyaya, Matara",2022-11,0.00014533115644701003,44.0
107,"Deniyaya, Matara",2022-12,8.200750775105603e-05,44.0
108,"Deniyaya, Matara",2023-01,8.446945073555963e-05,44.0
109,"Deniyaya, Matara",2023-02,8.097751451536897e-05,44.0
110,"Deniyaya, Matara",2023-03,0.00011128811999867812,44.0
111,"Deniyaya, Matara",2023-04,0.00012438961979697048,44.0
112,"Deniyaya, Matara",2023-05,0.00013957220324039776,44.0
113,"Deniyaya, Matara",2023-06,7.153093375132775e-05,44.0
114,"Deniyaya, Matara",2023-07,3.573357392557515e-05,44.0
115,"Deniyaya, Matara",2023-08,5.4529747482988537e-05,44.0
116,"Deniyaya, Matara",2023-09,5.3591946326586967e-05,44.0
117,"Deniyaya, Matara",2023-10,9.556403675379523e-05,44.0
118,"Deniyaya, Matara",2023-11,7.054773146367481e-05,44.0
119,"Deniyaya, Matara",2023-12,9.533898336448662e-05,44.0
120,Jaffna Proper,2019-01,7.849133370060498e-05,0.0
121,Jaffna Proper,2019-02,9.355518043058563e-05,0.0
122,Jaffna Proper,2019-03,0.00013184028747359626,0.0
123,Jaffna Proper,2019-04,0.00014396966248302357,0.0
124,Jaffna Proper,2019-05,0.00012877624065171976,0.0
125,Jaffna Proper,2019-06,0.00011842887111545456,0.0
126,Jaffna Proper,2019-07,0.00011312398816128375,0.0
127,Jaffna Proper,2019-08,0.00010167087629028695,0.0
128,Jaffna Proper,2019-09,0.00012064269222617044,0.0
129,Jaffna Proper,2019-10,0.00011300646129481826,0.0
130,Jaffna Proper,2019-11,8.84505214071766e-05,0.0
131,Jaffna Proper,2019-12,6.261049904760286e-05,0.0
132,Jaffna Proper,2020-01,7.596488897675781e-05,0.0
133,Jaffna Proper,2020-02,7.608634431860117e-05,0.0
134,Jaffna Proper,2020-03,0.00011519822990958421,0.0
135,Jaffna Proper,2020-04,0.00014064724129651444,0.0
136,Jaffna Proper,2020-05,0.00012299125180464157,0.0
137,Jaffna Proper,2020-06,0.00010449549445031711,0.0
138,Jaffna Proper,2020-07,0.00011578193950077898,0.0
139,Jaffna Proper,2020-08,0.00010224306591007304,0.0
140,Jaffna Proper,2020-09,9.885308107823428e-05,0.0
141,Jaffna Proper,2020-10,0.00012713453911344903,0.0
142,Jaffna Proper,2020-11,0.00013330130693106116,0.0
143,Jaffna Proper,2020-12,6.403644118047538e-05,0.0
144,Jaffna Proper,2021-01,6.255107604013149e-05,0.0
145,Jaffna Proper,2021-02,0.0001040785609221516,0.0
146,Jaffna Proper,2021-03,0.00012396133633504593,0.0
147,Jaffna Proper,2021-04,0.0001395000485732134,0.0
148,Jaffna Proper,2021-05,0.0001233528239284958,0.0
149,Jaffna Proper,2021-06,8.205835830148177e-05,0.0
150,Jaffna Proper,2021-07,9.157198641572813e-05,0.0
151,Jaffna Proper,2021-08,8.94027706329679e-05,0.0
152,Jaffna Proper,2021-09,9.302641216641425e-05,0.0
153,Jaffna Proper,2021-10,0.00010045947616046129,0.0
154,Jaffna Proper,2021-11,9.455450148319154e-05,0.0
155,Jaffna Proper,2021-12,6.456910404600491e-05,0.0
156,Jaffna Proper,2022-01,9.805378033063556e-05,0.0
157,Jaffna Proper,2022-02,7.508171224159606e-05,0.0
158,Jaffna Proper,2022-03,0.0001113615572092985,0.0
159,Jaffna Proper,2022-04,9.867406598410072e-05,0.0
160,Jaffna Proper,2022-05,0.0001124206937666729,0.0
161,Jaffna Proper,2022-06,0.00011521957626202185,0.0
162,Jaffna Proper,2022-07,7.392007282657874e-05,0.0
163,Jaffna Proper,2022-08,0.00014428407993591794,0.0
164,Jaffna Proper,2022-09,0.00012000868531569541,0.0
165,Jaffna Proper,2022-10,0.00010508823305185144,0.0
166,Jaffna Proper,2022-11,8.377991916248636e-05,0.0
167,Jaffna Proper,2022-12,8.515633642484501e-05,0.0
168,Jaffna Proper,2023-01,7.085831591575308e-05,0.0
169,Jaffna Proper,2023-02,8.964679022709782e-05,0.0
170,Jaffna Proper,2023-03,0.00012827676238282904,0.0
171,Jaffna Proper,2023-04,0.0001136470989358357,0.0
172,Jaffna Proper,2023-05,0.00014461042385014068,0.0
173,Jaffna Proper,2023-06,0.00015286982727255932,0.0
174,Jaffna Proper,2023-07,0.00010108764441760899,0.0
175,Jaffna Proper,2023-08,0.0001194013869700505,0.0
176,Jaffna Proper,2023-09,9.181537764333879e-05,0.0
177,Jaffna Proper,2023-10,0.00013331378065021578,0.0
178,Jaffna Proper,2023-11,0.00010295799584361541,0.0
179,Jaffna Proper,2023-12,7.865482702965392e-05,0.0
180,Kandy Proper,2019-01,9.533600454918877e-05,52.76
181,Kandy Proper,2019-02,7.748705072104112e-05,52.76
182,Kandy Proper,2019-03,0.0001627104586046313,52.76
183,Kandy Proper,2019-04,0.00018830125581192593,52.76
184,Kandy Proper,2019-05,0.00015564403818818612,52.76
185,Kandy Proper,2019-06,9.259644369589069e-05,52.76
186,Kandy Proper,2019-07,9.836711901410619e-05,52.76
187,Kandy Proper,2019-08,5.082638525380515e-05,52.76
188,Kandy Proper,2019-09,6.321286604473213e-05,52.76
189,Kandy Proper,2019-10,8.824540980112479e-05,52.76
190,Kandy Proper,2019-11,0.00010884346762118887,52.76
191,Kandy Proper,2019-12,0.00010934826852357361,52.76
192,Kandy Proper,2020-01,8.755187918407209e-05,52.76
193,Kandy Proper,2020-02,9.593437118276453e-05,52.76
194,Kandy Proper,2020-03,0.00015980508243799873,52.76
195,Kandy Proper,2020-04,0.00015417110843357265,52.76
196,Kandy Proper,2020-05,0.00012026416444325864,52.76
197,Kandy Proper,2020-06,8.187293380146469e-05,52.76
198,Kandy Proper,2020-07,8.881699732813858e-05,52.76
199,Kandy Proper,2020-08,6.211328051792842e-05,52.76
200,Kandy Proper,2020-09,8.812408279054205e-05,52.76
201,Kandy Proper,2020-10,9.605036833945302e-05,52.76
202,Kandy Proper,2020-11,0.00010959407536424929,52.76
203,Kandy Proper,2020-12,0.00012056377260936612,52.76
204,Kandy Proper,2021-01,0.00011304410273059577,52.76
205,Kandy Proper,2021-02,9.048972832067689e-05,52.76
206,Kandy Proper,2021-03,8.475464042536113e-05,52.76
207,Kandy Proper,2021-04,0.00016307002690279897,52.76
208,Kandy Proper,2021-05,0.00012088293029379695,52.76
209,Kandy Proper,2021-06,4.72256577284697e-05,52.76
210,Kandy Proper,2021-07,4.537642187790422e-05,52.76
211,Kandy Proper,2021-08,9.032702743227259e-05,52.76
212,Kandy Proper,2021-09,5.086313097823112e-05,52.76
213,Kandy Proper,2021-10,7.179689076463497e-05,52.76
214,Kandy Proper,2021-11,0.00013360281609460671,52.76
215,Kandy Proper,2021-12,7.377641696523528e-05,52.76
216,Kandy Proper,2022-01,8.375389779623522e-05,52.76
217,Kandy Proper,2022-02,0.00012820469800938863,52.76
218,Kandy Proper,2022-03,0.00010820578521823958,52.76
219,Kandy Proper,2022-04,0.00011333054954829725,52.76
220,Kandy Proper,2022-05,0.00011149374270753543,52.76
221,Kandy Proper,2022-06,9.401403114776446e-05,52.76
222,Kandy Proper,2022-07,7.824985660352618e-05,52.76
223,Kandy Proper,2022-08,0.00010333901005429886,52.76
224,Kandy Proper,2022-09,7.60756452295685e-05,52.76
225,Kandy Proper,2022-10,0.00013959246705131,52.76
226,Kandy Proper,2022-11,0.00010330434876168509,52.76
227,Kandy Proper,2022-12,0.0001165204719153462,52.76
228,Kandy Proper,2023-01,6.197251966853201e-05,52.76
229,Kandy Proper,2023-02,8.25682210817959e-05,52.76
230,Kandy Proper,2023-03,0.00014590782979187467,52.76
231,Kandy Proper,2023-04,0.00010189026130786192,52.76
232,Kandy Proper,2023-05,0.00013569540617875078,52.76
233,Kandy Proper,2023-06,0.00010798070227957891,52.76
234,Kandy Proper,2023-07,8.587234842390197e-05,52.76
235,Kandy Proper,2023-08,0.0001118068134267507,52.76
236,Kandy Proper,2023-09,0.00010022477666626724,52.76
237,Kandy Proper,2023-10,6.219629551608526e-05,52.76
238,Kandy Proper,2023-11,0.00012033780954364502,52.76
239,Kandy Proper,2023-12,6.98761290062563e-05,52.76
240,Kurunegala Proper,2019-01,0.00012801857149939602,59.5
241,Kurunegala Proper,2019-02,0.00014456664863776573,59.5
242,Kurunegala Proper,2019-03,0.00020011620827228708,59.5
243,Kurunegala Proper,2019-04,0.00020716175342807669,59.5
244,Kurunegala Proper,2019-05,0.00014497334276910068,59.5
245,Kurunegala Proper,2019-06,8.749111982816943e-05,59.5
246,Kurunegala Proper,2019-07,0.00010967173133267957,59.5
247,Kurunegala Proper,2019-08,0.00010383204887077625,59.5
248,Kurunegala Proper,2019-09,7.68619830050652e-05,59.5
249,Kurunegala Proper,2019-10,0.00011357623961284087,59.5
250,Kurunegala Proper,2019-11,0.00012500843982246073,59.5
251,Kurunegala Proper,2019-12,0.00011042481299609048,59.5
252,Kurunegala Proper,2020-01,0.00012923875225423983,59.5
253,Kurunegala Proper,2020-02,0.000161566318232044,59.5
254,Kurunegala Proper,2020-03,0.00021111410395440646,59.5
255,Kurunegala Proper,2020-04,0.00018544316200814936,59.5
256,Kurunegala Proper,2020-05,0.00014949567679006098,59.5
257,Kurunegala Proper,2020-06,0.00010514695307652214,59.5
258,Kurunegala Proper,2020-07,9.841746778843677e-05,59.5
259,Kurunegala Proper,2020-08,0.00010635315603196646,59.5
260,Kurunegala Proper,2020-09,7.564996854258581e-05,59.5
261,Kurunegala Proper,2020-10,9.951673041590793e-05,59.5
262,Kurunegala Proper,2020-11,0.00014740526518682853,59.5
263,Kurunegala Proper,2020-12,0.00012085683525326424,59.5
264,Kurunegala Proper,2021-01,0.00011562166276834342,59.5
265,Kurunegala Proper,2021-02,0.00013976399960839708,59.5
266,Kurunegala Proper,2021-03,0.0001746961437032171,59.5
267,Kurunegala Proper,2021-04,0.00017594426836418895,59.5
268,Kurunegala Proper,2021-05,0.0001731077708297877,59.5
269,Kurunegala Proper,2021-06,8.78240064869652e-05,59.5
270,Kurunegala Proper,2021-07,0.00011220435910478374,59.5
271,Kurunegala Proper,2021-08,0.0001016906595206833,59.5
272,Kurunegala Proper,2021-09,8.776767046057218e-05,59.5
273,Kurunegala Proper,2021-10,0.00010711500421873614,59.5
274,Kurunegala Proper,2021-11,9.504059459695675e-05,59.5
275,Kurunegala Proper,2021-12,0.00011428466838951174,59.5
276,Kurunegala Proper,2022-01,0.0001192709894738508,59.5
277,Kurunegala Proper,2022-02,0.00017962318030114208,59.5
278,Kurunegala Proper,2022-03,0.00014518880235461141,59.5
279,Kurunegala Proper,2022-04,0.00011094788803570322,59.5
280,Kurunegala Proper,2022-05,7.32187254532633e-05,59.5
281,Kurunegala Proper,2022-06,0.000102754829260424,59.5
282,Kurunegala Proper,2022-07,9.360199477218935e-05,59.5
283,Kurunegala Proper,2022-08,0.0001443964306728094,59.5
284,Kurunegala Proper,2022-09,8.772424341506077e-05,59.5
285,Kurunegala Proper,2022-10,0.00016698390559064742,59.5
286,Kurunegala Proper,2022-11,0.00015384299596190898,59.5
287,Kurunegala Proper,2022-12,0.0001192270491858663,59.5
288,Kurunegala Proper,2023-01,0.00010674609794749983,59.5
289,Kurunegala Proper,2023-02,0.00013544223977373688,59.5
290,Kurunegala Proper,2023-03,0.00017361375245064244,59.5
291,Kurunegala Proper,2023-04,0.00016463414356880212,59.5
292,Kurunegala Proper,2023-05,0.00016116757981332028,59.5
293,Kurunegala Proper,2023-06,0.0001427645567889439,59.5
294,Kurunegala Proper,2023-07,8.038826181928467e-05,59.5
295,Kurunegala Proper,2023-08,0.00012545543610948282,59.5
296,Kurunegala Proper,2023-09,7.79148348001056e-05,59.5
297,Kurunegala Proper,2023-10,0.00010231047843550122,59.5
298,Kurunegala Proper,2023-11,0.00014510493512974142,59.5
299,Kurunegala Proper,2023-12,0.00010306895335139491,59.5
300,Nuwara Eliya Proper,2019-01,8.612053465670074e-05,101.0
301,Nuwara Eliya Proper,2019-02,9.717936711096943e-05,101.0
302,Nuwara Eliya Proper,2019-03,0.00011658734093421613,101.0
303,Nuwara Eliya Proper,2019-04,9.782318360881018e-05,101.0
304,Nuwara Eliya Proper,2019-05,0.00011558253643822727,101.0
305,Nuwara Eliya Proper,2019-06,8.046757852476211e-05,101.0
306,Nuwara Eliya Proper,2019-07,0.0001127366194018402,101.0
307,Nuwara Eliya Proper,2019-08,4.926201423688376e-05,101.0
308,Nuwara Eliya Proper,2019-09,7.403253162176993e-05,101.0
309,Nuwara Eliya Proper,2019-10,6.327766375255017e-05,101.0
310,Nuwara Eliya Proper,2019-11,0.00010521522355732397,101.0
311,Nuwara Eliya Proper,2019-12,6.271395642750628e-05,101.0
312,Nuwara Eliya Proper,2020-01,7.495671743224227e-05,101.0
313,Nuwara Eliya Proper,2020-02,0.00010902957525701645,101.0
314,Nuwara Eliya Proper,2020-03,0.00013273731990615225,101.0
315,Nuwara Eliya Proper,2020-04,8.949239593356732e-05,101.0
316,Nuwara Eliya Proper,2020-05,8.362598407813536e-05,101.0
317,Nuwara Eliya Proper,2020-06,7.663553941367323e-05,101.0
318,Nuwara Eliya Proper,2020-07,7.635895550950269e-05,101.0
319,Nuwara Eliya Proper,2020-08,7.097595610933686e-05,101.0
320,Nuwara Eliya Proper,2020-09,7.184553630440376e-05,101.0
321,Nuwara Eliya Proper,2020-10,4.5196567673986146e-05,101.0
322,Nuwara Eliya Proper,2020-11,8.00114893624367e-05,101.0
323,Nuwara Eliya Proper,2020-12,7.042793796847059e-05,101.0
324,Nuwara Eliya Proper,2021-01,0.0001087129330163848,101.0
325,Nuwara Eliya Proper,2021-02,0.0001137939021348169,101.0
326,Nuwara Eliya Proper,2021-03,7.903635523673199e-05,101.0
327,Nuwara Eliya Proper,2021-04,0.00012084717696680117,101.0
328,Nuwara Eliya Proper,2021-05,9.744657859178878e-05,101.0
329,Nuwara Eliya Proper,2021-06,7.77740783625869e-05,101.0
330,Nuwara Eliya Proper,2021-07,6.539432068376995e-05,101.0
331,Nuwara Eliya Proper,2021-08,5.168793973178165e-05,101.0
332,Nuwara Eliya Proper,2021-09,3.851586793617641e-05,101.0
333,Nuwara Eliya Proper,2021-10,6.291751675511376e-05,101.0
334,Nuwara Eliya Proper,2021-11,7.713179534438953e-05,101.0
335,Nuwara Eliya Proper,2021-12,7.678637663997745e-05,101.0
336,Nuwara Eliya Proper,2022-01,7.959009024210589e-05,101.0
337,Nuwara Eliya Proper,2022-02,0.00011081434274784443,101.0
338,Nuwara Eliya Proper,2022-03,9.816130144423102e-05,101.0
339,Nuwara Eliya Proper,2022-04,9.033203568610811e-05,101.0
340,Nuwara Eliya Proper,2022-05,9.188681783173743e-05,101.0
341,Nuwara Eliya Proper,2022-06,6.57692932722358e-05,101.0
342,Nuwara Eliya Proper,2022-07,7.997636897088041e-05,101.0
343,Nuwara Eliya Proper,2022-08,7.508495493910341e-05,101.0
344,Nuwara Eliya Proper,2022-09,6.901022780148454e-05,101.0
345,Nuwara Eliya Proper,2022-10,9.865980387591603e-05,101.0
346,Nuwara Eliya Proper,2022-11,7.039685728558857e-05,101.0
347,Nuwara Eliya Proper,2022-12,5.412869501575724e-05,101.0
348,Nuwara Eliya Proper,2023-01,8.405978355935056e-05,101.0
349,Nuwara Eliya Proper,2023-02,0.00012039075472247865,101.0
350,Nuwara Eliya Proper,2023-03,8.454057999962161e-05,101.0
351,Nuwara Eliya Proper,2023-04,7.62713974694919e-05,101.0
352,Nuwara Eliya Proper,2023-05,8.40001025770176e-05,101.0
353,Nuwara Eliya Proper,2023-06,0.00010857628557798017,101.0
354,Nuwara Eliya Proper,2023-07,9.115051139742245e-05,101.0
355,Nuwara Eliya Proper,2023-08,6.563775664716901e-05,101.0
356,Nuwara Eliya Proper,2023-09,7.283722811055926e-05,101.0
357,Nuwara Eliya Proper,2023-10,0.00014052794609724663,101.0
358,Nuwara Eliya Proper,2023-11,5.832845137438285e-05,101.0
359,Nuwara Eliya Proper,2023-12,2.9463326126441796e-05,101.0
